,index,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size
0,17,"







  
  
    Do not buy for the PS4
  
",1.0,MSU Sparty Fan,"Reviewed in the United States March 20, 2017","









  
  
    
  I purchased this with the hope that it would work with the ps4.  The ps4 only has 2 usb ports so after expanding the hard drive with an external, the skylanders port, the headset and the charging vertical stand I needed more options.  This is advertised as USB 3.0 so I was thinking it should work, but it does not fit the bill.  It might be fine for other applications and earn more stars, but strictly for the PS4 this is a 1 star item.  DO NOT BUY THIS FOR PS4!

  
",
1,9,"







  
  
    Good some hiccups but not bad.
  
",4.0,Amazon Customer,"Reviewed in the United States June 17, 2020","









  
  
    
  Reviews were correct that it not always connects devices at once. But just have to turn off and back on and usually resets signal. I bought a power supply to use and works good so far.

  
",Color: 7-Port
2,50,"







  
  
    Works Great
  
",5.0,Tim H,"Reviewed in the United States March 8, 2021","









  
  
    
  No complaints.  It does it's job perfectly.

  
",Color: 7-Port
3,73,"







  
  
    Installed easily
  
",5.0,Qendresa Mulliqi,"Reviewed in the United States June 6, 2020","









  
  
    
  Great little gizmo for all the extra USB devices that I have.

  
",Color: 7-Port
4,72,"







  
  
    Worth the money
  
",5.0,Kaya Eschete,"Reviewed in the United States May 31, 2020","









  
  
    
  I went bought and return several other USB powered hubs; all had power or stability issues. 

  
",Color: 7-Port
5,46,"







  
  
    Great Item
  
",5.0,Cat54,"Reviewed in the United States February 28, 2021","









  
  
    
  This USB hub is great has more than enough ports

  
",Color: 7-Port
6,63,"







  
  
    USB Hub
  
",5.0,D Hong,"Reviewed in the United States November 14, 2020","









  
  
    
  Works great for its intended purpose: expansion of the number of USB connections.

  
",Color: 7-Port
7,12,"







  
  
    Works as advertised
  
",5.0,College Dad,"Reviewed in the United States September 28, 2020","









  
  
    
  USB 3.0 speeds to all ports (but not at the same time, which should be expected.)  I like the fact I can switch unused ports off when not in use, and make it so USB 3.0 connections to my pc are easy to reach and plug into.  Would buy this again if I needed another one.

  
",Color: 7-Port
8,15,"







  
  
    Time Saver
  
",5.0,Doug Stewart,"Reviewed in the United States November 12, 2020","









  
  
    
  Like many I have several thumb drives. In the past when I needed one I would root through ""root my collection"". Now my most used thumb drives are easy to access. I have used other hubs for years. They were all or nothing, i.e., all the thumb drives would show up on my screen. Contributing to the mess. I currently have five thumb drives in the hub. None show up until I punch the ""on/off? button. No fuss, no mess. Just access at the push of a button.

  
",Color: 7-Port
9,90,"







  
  
    Seems solid, but some drawbacks
  
",3.0,David,"Reviewed in the United States July 3, 2020","









  
  
    
  Did not come with a power adapter, so you can't really use it for charging, I work at an electronics manufacturer, so I got an adapter that should have been compatible, but the device cuts out when it's powered, I use it to power external drives in their own powered bays, so it doesn't really matter, but it would have been nice to have been able to charge other devices off of it.

  
",Color: 7-Port
10,59,"







  
  
    Does the job.
  
",5.0,Stanley G. Thomas,"Reviewed in the United States November 16, 2020","









  
  
    
  It’s great and does the job completely.

  
",Color: 7-Port
11,98,"







  
  
    Works
  
",5.0,RON A.,"Reviewed in the United States March 3, 2021","









  
  
    
  Works as advertised

  
",Color: 7-Port
